LEAGUE,COUNTRY
SHL,SWE
SuperElit,SWE
Allsvenskan,SWE
International-Jr,International
J18 Elit,SWE
J18 Allsvenskan,SWE
AHL,North America
International,International
Division 1,SWE
NHL,North America
Liiga,FIN
U16 SM,SWE
KHL,RUS
WC,International
WJC-20,International
U16 Div.1,SWE
NCAA,North America - College
WJC-18,International
U16 Elit,SWE
J18 Div.1,SWE
J20 Elit,SWE
Jr. A SM-liiga,FIN
NLA,CH/AUS/GER
WHC-17,International
WHL,Canada
DEL,CH/AUS/GER
ECHL,North America
Mestis,FIN
Division 2,SWE
OHL,Canada
J20 Div.1,SWE
Jr. B SM-sarja,FIN
Norway,NOR/DEN
EBEL,CH/AUS/GER
Czech,CZ/SLV
J18 Div.2,SWE
USHL,SWE
Jr. C SM-sarja,FIN
Denmark,NOR/DEN
OG,International
QMJHL,Canada
U16 Div.2,SWE
Division 3,SWE
NAHL,North America
WJC-20 D1,International
OGQ,International
Denmark U20,NOR/DEN
Denmark2,International
Jr. C SM-sarja Q,FIN
Denmark U17,NOR/DEN
Czech U20,International
WJC-18 D1,International
WJC-18 D1A,International
WJC-20 D1A,International
J20 Div.2,SWE
WC D1A,International
Norway U19,International
USDP,North America - College
Slovakia,CZ/SLV
NLB,CH/AUS/GER
USports,North America - College
VHL,RUS
U20-Elit,CH/AUS/GER
Norway U18,NOR/DEN
U17-Elit,CH/AUS/GER
Division 4,SWE
Suomi-sarja,FIN
MHL,RUS
Jr. B Mestis,FIN
Russia3,RUS
Jr. A Suomi-sarja,FIN
EBYSL,CH/AUS/GER
II-divisioona,FIN
Division 5,SWE
EBJL,CH/AUS/GER
III-divisioona,FIN
U20-Top,CH/AUS/GER
Norway U21,NOR/DEN
Jr. B SM-sarja Q,FIN
